feature,sniper_mean,broad_not_sniper_mean,diff,abs_diff
high,18416.97826,15228.11574,3188.86252,3188.86252
close,18411.5,15223.75848,3187.74152,3187.74152
low,18389.82609,15219.44145,3170.38464,3170.38464
open,18393.03261,15224.0044,3169.02821,3169.02821
dist_pdl,80.8587,37.39923,43.45947,43.45947
dist_pdh,-230.76087,-267.5013,36.74043,36.74043
dist_dol,-74.98913,-108.29019,33.30106,33.30106
dist_or_high_30m,-128.75,-104.01147,-24.73853,24.73853
result_points,19.06565,0.52744,18.53821,18.53821
dist_vwap,-78.69518,-65.83256,-12.86263,12.86263
dist_or_low_30m,-3.68478,-8.97636,5.29158,5.29158
minute,33.69565,28.40638,5.28927,5.28927
hour,8.86957,10.56032,-1.69076,1.69076
rel_vol_20,2.40573,1.10541,1.30031,1.30031
liquidity_sweep_reclaim_count_last_30m,1.86957,0.64818,1.22138,1.22138
range_expansion_20,2.12137,1.06125,1.06012,1.06012
bull_displacement,0.52174,0.02912,0.49262,0.49262
body_pct,0.85114,0.46942,0.38172,0.38172
bear_fvg,0.26087,0.04507,0.2158,0.2158
lower_wick_pct,0.06126,0.27041,-0.20915,0.20915
bull_fvg,0.0,0.17559,-0.17559,0.17559
upper_wick_pct,0.20171,0.26017,-0.05846,0.05846
bear_displacement,0.0,0.03887,-0.03887,0.03887
