entry_time,trade_date,result_points,equity,variant
2019-08-29T08:38:00.000000,2019-08-29,22.12,22.12,baseline
2020-02-21T08:50:00.000000,2020-02-21,17.12,39.24,baseline
2020-03-04T08:38:00.000000,2020-03-04,18.38,57.620000000000005,baseline
2020-03-20T10:10:00.000000,2020-03-20,21.25,78.87,baseline
2020-04-16T10:37:00.000000,2020-04-16,17.0,95.87,baseline
2020-05-21T09:01:00.000000,2020-05-21,17.88,113.75,baseline
2020-06-12T09:20:00.000000,2020-06-12,-9.62,104.13,baseline
2020-06-26T08:51:00.000000,2020-06-26,-8.19,95.94,baseline
2020-08-27T10:54:00.000000,2020-08-27,-8.69,87.25,baseline
2020-09-10T09:01:00.000000,2020-09-10,24.38,111.63,baseline
2020-09-10T09:35:00.000000,2020-09-10,-9.5,102.13,baseline
2020-11-09T08:35:00.000000,2020-11-09,22.5,124.63,baseline
2020-12-02T08:41:00.000000,2020-12-02,19.88,144.51,baseline
2021-01-27T08:33:00.000000,2021-01-27,37.88,182.39,baseline
2021-02-24T08:37:00.000000,2021-02-24,27.62,210.01,baseline
2021-03-08T10:00:00.000000,2021-03-08,-11.19,198.82,baseline
2021-11-09T10:14:00.000000,2021-11-09,18.0,216.82,baseline
2021-11-10T08:38:00.000000,2021-11-10,16.88,233.7,baseline
2021-12-03T08:55:00.000000,2021-12-03,28.25,261.95,baseline
2021-12-16T08:34:00.000000,2021-12-16,21.0,282.95,baseline
2021-12-17T10:47:00.000000,2021-12-17,21.38,304.33,baseline
2021-12-28T08:32:00.000000,2021-12-28,17.38,321.71,baseline
2022-01-11T08:32:00.000000,2022-01-11,-12.62,309.09,baseline
2022-02-04T08:38:00.000000,2022-02-04,24.38,333.46999999999997,baseline
2022-02-25T08:32:00.000000,2022-02-25,17.0,350.46999999999997,baseline
2022-03-08T10:27:00.000000,2022-03-08,24.25,374.71999999999997,baseline
2022-05-02T09:28:00.000000,2022-05-02,22.25,396.96999999999997,baseline
2022-07-22T09:38:00.000000,2022-07-22,18.12,415.09,baseline
2022-09-02T10:38:00.000000,2022-09-02,-8.38,406.71,baseline
2022-09-08T10:08:00.000000,2022-09-08,-9.69,397.02,baseline
2022-09-27T10:14:00.000000,2022-09-27,19.0,416.02,baseline
2022-12-01T08:38:00.000000,2022-12-01,-8.19,407.83,baseline
2022-12-07T09:01:00.000000,2022-12-07,18.25,426.08,baseline
2023-02-14T08:32:00.000000,2023-02-14,23.5,449.58,baseline
2023-03-08T09:02:00.000000,2023-03-08,-9.25,440.33,baseline
2023-05-19T09:16:00.000000,2023-05-19,16.75,457.08,baseline
2024-01-30T09:02:00.000000,2024-01-30,18.25,475.33,baseline
2024-02-15T08:45:00.000000,2024-02-15,-8.31,467.02,baseline
2024-02-23T10:14:00.000000,2024-02-23,17.5,484.52,baseline
2024-07-23T10:58:00.000000,2024-07-23,-8.69,475.83,baseline
2024-08-08T10:59:00.000000,2024-08-08,16.5,492.33,baseline
2024-08-22T08:50:00.000000,2024-08-22,-11.0,481.33,baseline
2024-09-17T10:24:00.000000,2024-09-17,19.75,501.08,baseline
2024-09-23T10:16:00.000000,2024-09-23,-8.31,492.77,baseline
2024-10-02T11:00:00.000000,2024-10-02,-8.44,484.33,baseline
2024-10-24T09:06:00.000000,2024-10-24,-8.5,475.83,baseline
2024-11-11T08:33:00.000000,2024-11-11,-8.69,467.14,baseline
2024-11-13T09:36:00.000000,2024-11-13,-8.81,458.33,baseline
2024-11-14T09:20:00.000000,2024-11-14,20.25,478.58,baseline
2024-11-20T08:34:00.000000,2024-11-20,16.62,495.2,baseline
2024-11-22T09:23:00.000000,2024-11-22,-11.31,483.89,baseline
2024-12-23T09:03:00.000000,2024-12-23,29.88,513.77,baseline
2025-01-02T08:40:00.000000,2025-01-02,23.38,537.15,baseline
2025-01-07T08:40:00.000000,2025-01-07,20.75,557.9,baseline
2025-01-16T08:38:00.000000,2025-01-16,17.75,575.65,baseline
2025-01-29T08:35:00.000000,2025-01-29,-9.38,566.27,baseline
2025-01-29T08:38:00.000000,2025-01-29,-9.12,557.15,baseline
2025-01-30T10:15:00.000000,2025-01-30,-11.69,545.4599999999999,baseline
2025-02-07T10:47:00.000000,2025-02-07,23.5,568.9599999999999,baseline
2025-02-12T10:23:00.000000,2025-02-12,17.38,586.3399999999999,baseline
2025-02-25T08:32:00.000000,2025-02-25,24.88,611.2199999999999,baseline
2025-02-26T08:31:00.000000,2025-02-26,28.0,639.2199999999999,baseline
2025-02-28T08:35:00.000000,2025-02-28,-11.56,627.66,baseline
2025-03-03T08:31:00.000000,2025-03-03,-11.31,616.35,baseline
2025-04-15T10:58:00.000000,2025-04-15,17.5,633.85,baseline
2025-04-28T08:42:00.000000,2025-04-28,-12.69,621.16,baseline
2025-05-01T10:17:00.000000,2025-05-01,-10.38,610.78,baseline
2025-05-08T08:56:00.000000,2025-05-08,28.5,639.28,baseline
2025-05-16T08:45:00.000000,2025-05-16,-8.88,630.4,baseline
2025-06-05T10:53:00.000000,2025-06-05,-14.94,615.4599999999999,baseline
2025-06-23T10:37:00.000000,2025-06-23,26.5,641.9599999999999,baseline
2025-07-09T08:37:00.000000,2025-07-09,-9.62,632.3399999999999,baseline
2025-07-16T08:59:00.000000,2025-07-16,-9.38,622.9599999999999,baseline
2025-08-07T09:16:00.000000,2025-08-07,-8.62,614.3399999999999,baseline
2025-08-20T08:47:00.000000,2025-08-20,-12.56,601.78,baseline
2025-09-03T10:41:00.000000,2025-09-03,16.88,618.66,baseline
2025-11-04T10:41:00.000000,2025-11-04,19.75,638.41,baseline
2025-11-06T08:42:00.000000,2025-11-06,22.38,660.79,baseline
2025-11-12T09:37:00.000000,2025-11-12,27.5,688.29,baseline
2025-11-17T08:31:00.000000,2025-11-17,-13.19,675.0999999999999,baseline
2025-11-20T08:34:00.000000,2025-11-20,-13.62,661.4799999999999,baseline
2025-11-20T10:39:00.000000,2025-11-20,36.0,697.4799999999999,baseline
2025-12-04T08:35:00.000000,2025-12-04,33.62,731.0999999999999,baseline
2025-12-05T09:57:00.000000,2025-12-05,18.25,749.3499999999999,baseline
2025-12-17T08:37:00.000000,2025-12-17,28.5,777.8499999999999,baseline
2026-01-02T08:36:00.000000,2026-01-02,-9.81,768.04,baseline
2026-01-08T08:32:00.000000,2026-01-08,-8.19,759.8499999999999,baseline
2026-01-08T08:39:00.000000,2026-01-08,22.62,782.4699999999999,baseline
2026-01-15T09:47:00.000000,2026-01-15,21.25,803.7199999999999,baseline
