variant,year,trades,wins,win_rate,net_points,avg_trade
baseline,2019,1,1,100.0,22.12,22.12
baseline,2020,12,8,66.67,122.39,10.2
baseline,2021,9,8,88.89,177.2,19.69
baseline,2022,11,7,63.64,104.37,9.49
baseline,2023,3,2,66.67,31.0,10.33
baseline,2024,16,7,43.75,56.69,3.54
baseline,2025,33,18,54.55,264.08,8.0
baseline,2026,13,10,76.92,208.38,16.03
8_10_ct_only,2019,1,1,100.0,22.12,22.12
8_10_ct_only,2020,8,6,75.0,99.25,12.41
8_10_ct_only,2021,9,8,88.89,177.2,19.69
8_10_ct_only,2022,8,4,50.0,45.75,5.72
8_10_ct_only,2023,1,1,100.0,23.5,23.5
8_10_ct_only,2024,9,4,44.44,25.37,2.82
8_10_ct_only,2025,30,16,53.33,226.95,7.56
8_10_ct_only,2026,9,7,77.78,141.0,15.67
10_ct_only,2020,3,2,66.67,29.56,9.85
10_ct_only,2021,3,2,66.67,28.19,9.4
10_ct_only,2022,4,2,50.0,25.18,6.3
10_ct_only,2024,5,3,60.0,36.75,7.35
10_ct_only,2025,10,7,70.0,120.5,12.05
10_ct_only,2026,3,3,100.0,57.63,19.21
one_trade_day,2019,1,1,100.0,22.12,22.12
one_trade_day,2020,11,8,72.73,131.89,11.99
one_trade_day,2021,9,8,88.89,177.2,19.69
one_trade_day,2022,11,7,63.64,104.37,9.49
one_trade_day,2023,3,2,66.67,31.0,10.33
one_trade_day,2024,16,7,43.75,56.69,3.54
one_trade_day,2025,31,17,54.84,237.2,7.65
one_trade_day,2026,10,7,70.0,144.13,14.41
max_2_trades_day,2019,1,1,100.0,22.12,22.12
max_2_trades_day,2020,12,8,66.67,122.39,10.2
max_2_trades_day,2021,9,8,88.89,177.2,19.69
max_2_trades_day,2022,11,7,63.64,104.37,9.49
max_2_trades_day,2023,3,2,66.67,31.0,10.33
max_2_trades_day,2024,16,7,43.75,56.69,3.54
max_2_trades_day,2025,33,18,54.55,264.08,8.0
max_2_trades_day,2026,12,9,75.0,186.5,15.54
one_trade_hour,2019,1,1,100.0,22.12,22.12
one_trade_hour,2020,11,8,72.73,131.89,11.99
one_trade_hour,2021,9,8,88.89,177.2,19.69
one_trade_hour,2022,11,7,63.64,104.37,9.49
one_trade_hour,2023,3,2,66.67,31.0,10.33
one_trade_hour,2024,16,7,43.75,56.69,3.54
one_trade_hour,2025,32,18,56.25,273.2,8.54
one_trade_hour,2026,11,8,72.73,163.88,14.9
stop_after_win,2019,1,1,100.0,22.12,22.12
stop_after_win,2020,11,8,72.73,131.89,11.99
stop_after_win,2021,9,8,88.89,177.2,19.69
stop_after_win,2022,11,7,63.64,104.37,9.49
stop_after_win,2023,3,2,66.67,31.0,10.33
stop_after_win,2024,16,7,43.75,56.69,3.54
stop_after_win,2025,33,18,54.55,264.08,8.0
stop_after_win,2026,12,9,75.0,186.5,15.54
stop_after_loss,2019,1,1,100.0,22.12,22.12
stop_after_loss,2020,12,8,66.67,122.39,10.2
stop_after_loss,2021,9,8,88.89,177.2,19.69
stop_after_loss,2022,11,7,63.64,104.37,9.49
stop_after_loss,2023,3,2,66.67,31.0,10.33
stop_after_loss,2024,16,7,43.75,56.69,3.54
stop_after_loss,2025,31,17,54.84,237.2,7.65
stop_after_loss,2026,10,7,70.0,144.13,14.41
