ts_event,symbol,entry,stop,target,future_high_60m,future_low_60m,outcome,pnl,master_fwd_15m,master_fwd_30m,master_fwd_60m
2020-09-24T14:39:00.000000,NQZ0,10787.25,10767.25,10827.25,10951.25,10782.75,WIN,40.0,186.0,39.0,164.25
2020-10-19T14:40:00.000000,NQZ0,11792.5,11772.5,11832.5,11839.5,11755.0,AMBIG_STOP,-20.0,-4.5,-155.25,-92.0
2020-09-24T14:40:00.000000,NQZ0,10810.25,10790.25,10850.25,10951.25,10782.75,AMBIG_STOP,-20.0,161.25,121.75,136.75
2020-09-16T14:49:00.000000,NQZ0,11354.75,11334.75,11394.75,11433.5,11344.25,WIN,40.0,5.5,-45.0,-232.75
2020-09-16T14:50:00.000000,NQZ0,11351.0,11331.0,11391.0,11433.5,11349.0,WIN,40.0,-3.75,-39.5,-233.0
2020-07-14T14:54:00.000000,NQU0,10569.25,10549.25,10609.25,10602.0,10463.25,LOSS,-20.0,-70.0,36.0,119.5
2020-10-19T14:55:00.000000,NQZ0,11793.0,11773.0,11833.0,11839.5,11767.25,AMBIG_STOP,-20.0,-64.5,-58.5,-80.0
2020-09-24T14:35:00.000000,NQZ0,10796.0,10776.0,10836.0,10942.25,10774.0,AMBIG_STOP,-20.0,134.0,23.0,143.0
2020-09-24T14:38:00.000000,NQZ0,10787.5,10767.5,10827.5,10951.25,10774.0,WIN,40.0,168.0,153.25,160.5
2020-10-19T14:41:00.000000,NQZ0,11797.0,11777.0,11837.0,11839.5,11755.0,AMBIG_STOP,-20.0,-28.0,-154.25,-119.0
2020-10-19T14:43:00.000000,NQZ0,11793.25,11773.25,11833.25,11839.5,11755.0,AMBIG_STOP,-20.0,-33.25,-156.75,-108.25
2021-11-24T14:44:00.000000,NQZ1,16129.75,16109.75,16169.75,16270.5,16102.0,AMBIG_STOP,-20.0,188.25,221.5,260.75
2021-11-24T14:48:00.000000,NQZ1,16139.0,16119.0,16179.0,16270.5,16116.25,AMBIG_STOP,-20.0,176.75,217.75,255.0
2022-02-08T14:35:00.000000,NQH2,14538.25,14518.25,14578.25,14588.0,14467.5,AMBIG_STOP,-20.0,170.0,198.5,232.5
2022-03-10T14:37:00.000000,NQH2,13513.75,13493.75,13553.75,13611.75,13466.0,AMBIG_STOP,-20.0,-37.0,-78.25,1.25
2022-03-10T14:53:00.000000,NQH2,13515.0,13495.0,13555.0,13611.75,13452.25,AMBIG_STOP,-20.0,-86.75,69.25,-31.75
2022-01-03T14:56:00.000000,NQH2,16328.25,16308.25,16368.25,16442.25,16304.5,AMBIG_STOP,-20.0,97.25,170.75,174.5
2022-01-06T14:51:00.000000,NQH2,15792.0,15772.0,15832.0,15846.75,15598.5,AMBIG_STOP,-20.0,29.0,-9.5,10.25
2022-02-16T15:01:00.000000,NQH2,14430.75,14410.75,14470.75,14466.5,14388.0,LOSS,-20.0,42.25,183.25,58.5
2022-01-03T14:50:00.000000,NQH2,16319.5,16299.5,16359.5,16442.25,16292.0,AMBIG_STOP,-20.0,68.75,139.5,174.25
2022-01-03T14:59:00.000000,NQH2,16316.5,16296.5,16356.5,16442.25,16305.0,WIN,40.0,84.0,144.0,170.0
2022-01-05T14:36:00.000000,NQH2,16149.5,16129.5,16189.5,16247.25,16112.0,AMBIG_STOP,-20.0,-103.5,-372.75,-470.5
2022-01-06T14:33:00.000000,NQH2,15766.75,15746.75,15806.75,15850.5,15598.5,AMBIG_STOP,-20.0,62.0,61.5,33.25
2022-03-04T14:33:00.000000,NQH2,13961.75,13941.75,14001.75,13995.5,13792.75,LOSS,-20.0,-88.5,-363.25,-377.25
2022-01-03T14:58:00.000000,NQH2,16315.0,16295.0,16355.0,16442.25,16305.0,WIN,40.0,101.5,188.0,221.75
2022-01-03T15:00:00.000000,NQH2,16350.75,16330.75,16390.75,16442.25,16305.0,AMBIG_STOP,-20.0,67.0,147.25,179.0
2022-02-04T14:39:00.000000,NQH2,14458.75,14438.75,14498.75,14666.75,14443.75,WIN,40.0,124.75,336.0,174.0
2022-02-16T15:06:00.000000,NQH2,14436.0,14416.0,14476.0,14466.5,14388.0,LOSS,-20.0,29.75,191.0,155.0
2022-03-10T14:47:00.000000,NQH2,13503.25,13483.25,13543.25,13611.75,13466.0,AMBIG_STOP,-20.0,-72.0,93.75,-21.0
2022-03-10T14:52:00.000000,NQH2,13500.25,13480.25,13540.25,13611.75,13452.25,AMBIG_STOP,-20.0,-67.75,128.0,-8.25
2021-12-17T14:49:00.000000,NQH2,15795.5,15775.5,15835.5,15869.5,15651.75,AMBIG_STOP,-20.0,1.5,37.75,-235.25
2022-01-14T14:35:00.000000,NQH2,15464.75,15444.75,15504.75,15600.5,15415.0,AMBIG_STOP,-20.0,30.5,118.0,78.25
2022-01-14T14:37:00.000000,NQH2,15491.25,15471.25,15531.25,15600.5,15456.75,AMBIG_STOP,-20.0,7.75,104.75,48.25
2022-01-21T14:34:00.000000,NQH2,14807.0,14787.0,14847.0,14818.5,14532.25,LOSS,-20.0,-145.75,-182.25,-258.0
2022-02-11T15:12:00.000000,NQH2,14630.0,14610.0,14670.0,14696.75,14581.5,AMBIG_STOP,-20.0,-117.25,-366.75,-362.75
2022-03-07T14:54:00.000000,NQH2,13744.0,13724.0,13784.0,13766.25,13550.5,LOSS,-20.0,-248.75,-461.25,-450.0
2022-03-08T14:35:00.000000,NQH2,13353.5,13333.5,13393.5,13374.0,13124.5,LOSS,-20.0,-209.5,124.5,-42.5
2022-03-08T14:43:00.000000,NQH2,13365.0,13345.0,13405.0,13374.0,13124.0,LOSS,-20.0,9.25,92.0,-104.75
2022-03-10T14:50:00.000000,NQH2,13505.75,13485.75,13545.75,13611.75,13466.0,AMBIG_STOP,-20.0,-64.5,82.75,-1.25
2021-11-23T14:46:00.000000,NQZ1,16390.5,16370.5,16430.5,16418.75,16210.75,LOSS,-20.0,-204.0,-118.25,-122.5
2021-12-02T14:32:00.000000,NQZ1,15867.25,15847.25,15907.25,16027.0,15823.5,AMBIG_STOP,-20.0,90.0,135.75,94.75
2022-01-14T14:36:00.000000,NQH2,15466.25,15446.25,15506.25,15600.5,15445.25,AMBIG_STOP,-20.0,-12.25,137.25,76.25
2022-03-07T14:47:00.000000,NQH2,13737.5,13717.5,13777.5,13766.25,13556.25,LOSS,-20.0,-176.75,-269.5,-388.25
2022-03-07T14:49:00.000000,NQH2,13742.0,13722.0,13782.0,13766.25,13551.0,LOSS,-20.0,-134.25,-348.5,-395.25
2022-02-04T14:38:00.000000,NQH2,14468.75,14448.75,14508.75,14666.75,14438.0,AMBIG_STOP,-20.0,138.5,304.75,150.5
2022-03-04T14:30:00.000000,NQH2,13960.5,13940.5,14000.5,13995.5,13799.5,LOSS,-20.0,-137.5,-246.0,-359.25
2022-03-04T14:35:00.000000,NQH2,13981.25,13961.25,14021.25,13995.5,13792.75,LOSS,-20.0,-173.0,-285.25,-382.25
2021-12-02T14:33:00.000000,NQZ1,15859.0,15839.0,15899.0,16027.0,15823.5,AMBIG_STOP,-20.0,140.0,167.5,122.5
2021-12-17T14:50:00.000000,NQH2,15829.0,15809.0,15869.0,15881.75,15651.75,AMBIG_STOP,-20.0,-28.75,17.0,-143.0
2022-01-28T15:10:00.000000,NQH2,13945.5,13925.5,13985.5,14155.0,13912.75,AMBIG_STOP,-20.0,273.25,475.75,550.25
2022-02-16T14:45:00.000000,NQH2,14446.0,14426.0,14486.0,14460.25,14381.0,LOSS,-20.0,-47.5,167.75,153.5
2022-02-16T15:07:00.000000,NQH2,14434.0,14414.0,14474.0,14466.5,14388.0,LOSS,-20.0,-17.25,161.5,156.75
2022-02-04T14:36:00.000000,NQH2,14469.0,14449.0,14509.0,14666.75,14432.75,AMBIG_STOP,-20.0,155.0,226.0,240.0
