group,trades,wins,losses,winrate,net_points,avg_trade,profit_factor
A+,6232,2460,3772,39.47,3201.5,0.51,1.08
A,3625,1398,2227,38.57,802.25,0.22,1.04
B,1246,453,793,36.36,-502.25,-0.4,0.91
C,176,82,94,46.59,233.75,1.33,1.35
score_3,6,3,3,50.0,2.0,0.33,1.11
score_4,26,10,16,38.46,-32.5,-1.25,0.75
score_5,144,69,75,47.92,264.25,1.84,1.51
score_6,385,135,250,35.06,-251.0,-0.65,0.86
score_7,861,318,543,36.93,-251.25,-0.29,0.94
score_8,1536,610,926,39.71,648.25,0.42,1.09
score_9,2089,788,1301,37.72,154.0,0.07,1.01
score_10,2316,902,1414,38.95,523.5,0.23,1.04
score_11,1956,786,1170,40.18,1851.0,0.95,1.15
score_12,1217,476,741,39.11,76.0,0.06,1.01
score_13,565,217,348,38.41,281.25,0.5,1.06
score_14,152,67,85,44.08,335.75,2.21,1.27
score_15,26,12,14,46.15,134.0,5.15,1.6
