tier,year,trades,wins,losses,net_points,avg_trade,winrate
A,2018,249,93,156,-48.25,-0.19,37.35
A,2019,197,80,117,253.5,1.29,40.61
A,2020,442,181,261,284.25,0.64,40.95
A,2021,434,160,274,-41.25,-0.1,36.87
A,2022,613,233,380,66.0,0.11,38.01
A,2023,457,157,300,-335.0,-0.73,34.35
A,2024,445,165,280,60.75,0.14,37.08
A,2025,580,236,344,120.0,0.21,40.69
A,2026,208,93,115,442.25,2.13,44.71
A+,2018,339,134,205,116.0,0.34,39.53
A+,2019,186,78,108,286.75,1.54,41.94
A+,2020,743,301,442,343.25,0.46,40.51
A+,2021,775,300,475,-13.0,-0.02,38.71
A+,2022,1206,483,723,1472.0,1.22,40.05
A+,2023,654,227,427,-423.75,-0.65,34.71
A+,2024,816,322,494,483.5,0.59,39.46
A+,2025,1040,414,626,338.75,0.33,39.81
A+,2026,473,201,272,598.0,1.26,42.49
B,2018,109,46,63,67.0,0.61,42.2
B,2019,88,28,60,-22.0,-0.25,31.82
B,2020,154,49,105,-181.25,-1.18,31.82
B,2021,154,62,92,-18.0,-0.12,40.26
B,2022,189,66,123,-280.25,-1.48,34.92
B,2023,166,55,111,-32.0,-0.19,33.13
B,2024,165,69,96,88.5,0.54,41.82
B,2025,184,63,121,-103.0,-0.56,34.24
B,2026,37,15,22,-21.25,-0.57,40.54
C,2018,10,6,4,23.5,2.35,60.0
C,2019,12,5,7,30.25,2.52,41.67
C,2020,18,7,11,-4.25,-0.24,38.89
C,2021,26,10,16,-18.25,-0.7,38.46
C,2022,16,9,7,72.75,4.55,56.25
C,2023,34,15,19,29.0,0.85,44.12
C,2024,27,13,14,60.75,2.25,48.15
C,2025,27,14,13,44.25,1.64,51.85
C,2026,6,3,3,-4.25,-0.71,50.0
