feature,win_mean,loss_mean,difference,abs_difference
dist_pdl,165.5921,284.1136,-118.5215,118.5215
dist_pdh,-158.7237,-44.7045,-114.0191,114.0191
dist_dol,-28.3026,52.9773,-81.2799,81.2799
dist_vwap,-48.444,-4.0415,-44.4025,44.4025
dist_or_high_30m,-94.3816,-81.0,-13.3816,13.3816
minute,32.8421,24.4545,8.3876,8.3876
dist_or_low_30m,27.7632,31.9545,-4.1914,4.1914
risk_points,9.0989,8.2164,0.8826,0.8826
liquidity_sweep_reclaim_count_last_30m,2.1579,2.7273,-0.5694,0.5694
range_expansion_20,1.708,2.2488,-0.5408,0.5408
rel_vol_20,1.6321,2.1527,-0.5206,0.5206
hour,8.8947,9.1818,-0.2871,0.2871
body_pct,0.6735,0.7853,-0.1118,0.1118
lower_wick_pct,0.0964,0.069,0.0274,0.0274
